frame,latency_ms,date,device
0,2962,2026-05-09,MacBook M3 mps
1,3362,2026-05-09,MacBook M3 mps
2,1703,2026-05-09,MacBook M3 mps
3,2627,2026-05-09,MacBook M3 mps
4,1849,2026-05-09,MacBook M3 mps
5,1769,2026-05-09,MacBook M3 mps
6,2000,2026-05-09,MacBook M3 mps
7,1790,2026-05-09,MacBook M3 mps
8,2898,2026-05-09,MacBook M3 mps
9,2296,2026-05-09,MacBook M3 mps
10,1796,2026-05-09,MacBook M3 mps
11,2664,2026-05-09,MacBook M3 mps
12,1708,2026-05-09,MacBook M3 mps
13,1734,2026-05-09,MacBook M3 mps
14,2418,2026-05-09,MacBook M3 mps
15,1758,2026-05-09,MacBook M3 mps
16,2471,2026-05-09,MacBook M3 mps
17,1821,2026-05-09,MacBook M3 mps
18,1750,2026-05-09,MacBook M3 mps
19,2144,2026-05-09,MacBook M3 mps
